  Latitude       Year        PET    Z-Index        PPe        PX1        PX2        PX3          X       PDSI       PHDI
 49.441536       1979     0.0000    -0.0345     0.0000     0.0000    -0.0115     0.0000    -0.0115    -0.0115    -0.0115
 49.441536       1979     0.0000     1.3527     0.0000     0.4509     0.0000     0.0000     0.4509     0.4509     0.4509
 49.441536       1979     0.0000     1.2543     0.0000     0.8226     0.0000     0.0000     0.8226     0.8226     0.8226
 49.441536       1979     2.4173     3.6945     0.0000     0.0000     0.0000     1.9694     1.9694     1.9694     1.9694
 49.441536       1979     4.1503     2.3801     0.0000     0.0000     0.0000     2.5599     2.5599     2.5599     2.5599
 49.441536       1979     6.3730    -1.0367    22.0218     0.0000    -0.3456     1.9507    -0.3456    -0.3456     1.9507
 49.441536       1979     6.9510    -0.0552    28.1996     0.0000    -0.3284     1.7314    -0.3284    -0.3284     1.7314
 49.441536       1979     5.1706     0.1362    30.8871     0.0454    -0.2492     1.5985    -0.2492    -0.2492     1.5985
 49.441536       1979     4.2592    -2.8892   100.0000     0.0000     0.0000    -1.1866    -1.1866    -1.1866    -1.1866
 49.441536       1979     2.1262    -0.7713     0.0000     0.0000     0.0000    -1.3215    -1.3215    -1.3215    -1.3215
 49.441536       1979     0.0000    -0.1026     2.3054     0.0000    -0.0342    -1.2196    -1.2196    -1.2196    -1.2196
 49.441536       1979     0.0000    -1.3251     0.0000     0.0000     0.0000    -1.5357    -1.5357    -1.5357    -1.5357
 49.441536       1980     0.0000     0.0037     5.8367     0.0012     0.0000    -1.3763    -1.3763    -1.3763    -1.3763
 49.441536       1980     0.0000     0.2149    22.0006     0.0727     0.0000    -1.1629    -1.1629    -1.1629    -1.1629
 49.441536       1980     0.0000    -0.5308     6.4164     0.0000    -0.1769    -1.2200    -1.2200    -1.2200    -1.2200
 49.441536       1980     4.7942    -3.6815     0.0000     0.0000     0.0000    -2.3215    -2.3215    -2.3215    -2.3215
 49.441536       1980     7.5658    -6.4247     0.0000     0.0000     0.0000    -4.2239    -4.2239    -4.2239    -4.2239
 49.441536       1980     6.7313    -3.1608     0.0000     0.0000     0.0000    -4.8424    -4.8424    -4.8424    -4.8424
 49.441536       1980     7.9246    -2.7620     0.0000     0.0000     0.0000    -5.2643    -5.2643    -5.2643    -5.2643
 49.441536       1980     5.0733     3.7667    30.9224     1.2556     0.0000    -3.4665     1.2556     1.2556    -3.4665
 49.441536       1980     3.4322     1.1283    44.2311     1.5024     0.0000    -2.7334     1.5024     1.5024    -2.7334
 49.441536       1980     2.3236    -0.6737    42.2716     1.1231    -0.2246    -2.6764    -0.2246    -0.2246    -2.6764
 49.441536       1980     0.0000     0.0903    47.3473     1.0375    -0.1714    -2.3706    -0.1714    -0.1714    -2.3706
 49.441536       1980     0.0000    -1.0343    41.1333     0.5859    -0.4985    -2.4712    -0.4985    -0.4985    -2.4712
 49.441536       1981     0.0000    -1.2540    31.8536     0.1076    -0.8652    -2.6347    -0.8652    -0.8652    -2.6347
 49.441536       1981     0.0000    -0.6975    27.9070     0.0000    -1.0086    -2.5958    -1.0086    -1.0086    -2.5958
 49.441536       1981     0.0000    -0.1654    30.0265     0.0000    -0.9598    -2.3836    -0.9598    -0.9598    -2.3836
